iter	Passed	Remaining
752	2707	888
753	2711	884
754	2714	881
755	2718	877
756	2721	873
757	2725	870
758	2728	866
759	2731	862
760	2734	858
761	2737	855
762	2741	851
763	2745	848
764	2748	844
765	2751	840
766	2755	837
767	2759	833
768	2762	829
769	2766	826
770	2769	822
771	2772	818
772	2776	815
773	2779	811
774	2783	808
775	2786	804
776	2789	800
777	2793	797
778	2796	793
779	2799	789
780	2802	785
781	2806	782
782	2810	778
783	2813	775
784	2816	771
785	2820	767
786	2824	764
787	2827	760
788	2830	757
789	2834	753
790	2837	749
791	2841	746
792	2844	742
793	2848	739
794	2851	735
795	2854	731
796	2858	728
797	2862	724
798	2865	720
799	2869	717
800	2872	713
801	2876	710
802	2879	706
803	2882	702
804	2886	699
805	2890	695
806	2893	692
807	2896	688
808	2900	684
809	2903	681
810	2907	677
811	2910	673
812	2913	670
813	2917	666
814	2920	662
815	2924	659
816	2928	655
817	2931	652
818	2934	648
819	2937	644
820	2941	641
821	2944	637
822	2947	633
823	2950	630
824	2954	626
825	2958	623
826	2961	619
827	2965	616
828	2969	612
829	2974	609
830	2978	605
831	2982	602
832	2986	598
833	2990	595
834	2994	591
835	2998	588
836	3002	584
837	3007	581
838	3011	577
839	3014	574
840	3018	570
841	3021	567
842	3025	563
843	3028	559
844	3031	556
845	3035	552
846	3039	549
847	3043	545
848	3046	541
849	3050	538
850	3053	534
851	3057	531
852	3060	527
853	3064	523
854	3068	520
855	3071	516
856	3075	513
857	3079	509
858	3082	506
859	3086	502
860	3090	498
861	3093	495
862	3097	491
863	3101	488
864	3104	484
865	3108	481
866	3111	477
867	3115	473
868	3119	470
869	3122	466
870	3126	463
871	3130	459
872	3134	455
873	3138	452
874	3142	448
875	3145	445
876	3148	441
877	3152	437
878	3155	434
879	3158	430
880	3162	427
881	3165	423
882	3169	419
883	3172	416
884	3175	412
885	3179	409
886	3182	405
887	3186	401
888	3189	398
889	3193	394
890	3197	391
891	3200	387
892	3203	383
893	3207	380
894	3210	376
895	3214	373
896	3217	369
897	3220	365
898	3224	362
899	3226	358
900	3230	354
901	3234	351
902	3238	347
903	3241	344
904	3244	340
905	3248	337
906	3251	333
907	3254	329
908	3258	326
909	3261	322
910	3265	318
911	3268	315
912	3271	311
913	3275	308
914	3278	304
915	3282	300
916	3285	297
917	3288	293
918	3291	290
919	3295	286
920	3298	282
921	3301	279
922	3304	275
923	3308	272
924	3312	268
925	3316	264
926	3319	261
927	3322	257
928	3325	254
929	3329	250
930	3332	246
931	3335	243
932	3339	239
933	3342	236
934	3346	232
935	3350	229
936	3353	225
937	3356	221
938	3360	218
939	3364	214
940	3367	211
941	3371	207
942	3374	203
943	3378	200
944	3381	196
945	3384	193
946	3388	189
947	3391	186
948	3394	182
949	3398	178
950	3401	175
951	3405	171
952	3408	168
953	3412	164
954	3415	160
955	3419	157
956	3422	153
957	3425	150
958	3429	146
959	3433	143
960	3436	139
961	3440	135
962	3444	132
963	3447	128
964	3451	125
965	3455	121
966	3459	118
967	3462	114
968	3466	110
969	3470	107
970	3474	103
971	3477	100
972	3481	96
973	3485	93
974	3488	89
975	3492	85
976	3496	82
977	3500	78
978	3503	75
979	3507	71
980	3511	68
981	3515	64
982	3518	60
983	3522	57
984	3526	53
985	3529	50
986	3533	46
987	3537	42
988	3541	39
989	3544	35
990	3548	32
991	3551	28
992	3554	25
993	3559	21
994	3562	17
995	3566	14
996	3569	10
997	3573	7
998	3576	3
999	3579	0
